topic|title|author|source|is_read
c/c++|Skip lists: A probabilistic alternative to balanced trees|Pugh, W||false
c/c++|Garbage collection|Appel, A||false
c/c++|||devernay.free.fr/cours/IHM/GTK/gnome-libs-tutorial.pdf|false
c/c++|Csh Programming Considered Harmful|Christiansen, Tom||false
compilers|||stack.nl/~marcov/compiler.pdf|false
compilers|||norasandler.com/2017/11/29/Write-a-Compiler.html|false
compilers|Modern Compiler Implementation|Appel, Andrew||false
c/c++|||dabeaz.com/papers/CiSE/c5090.pdf|true
deep-learning|Feature Visualization||distill.pub/2017/feature-visualization|true
neural-transfer|Understanding style transfer||ptrrupprecht.wordpress.com/2017/12/05/understanding-style-transfer|true
deep-learning|Teaching Physics to Neural Networks Removes 'Chaos Blindness'||phys.org/news/2020-06-physics-neural-networks-chaos.amp|true
other|How you should read research papers||towardsdatascience.com/how-you-should-read-research-papers-according-to-andrew-ng-stanford-deep-learning-lectures-98ecbd3ccfb3|true
deep-learning|TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems||static.googleusercontent.com/media/research.google.com/en/pubs/archive/45166.pdf|true
reinforcement-learning|Specification gaming: the flip side of AI ingenuity|Krakovna, Victoria|deepmind.com/blog/article/Specification-gaming-the-flip-side-of-AI-ingenuity|true
c|||eradman.com/posts/tdd-in-c.html|true
c|Smashing the Stack for Fun and Profit|||true
c|Traps & Pitfalls ||di-mgt.com.au/src/trasandpitfalls.pdf|true
computing|Missing Semester of Your CS Education||missing.csail.mit.edu|true
deep-learning|More Descent, Less Gradient||koaning.io/posts/more-descent-less-gradient/|true
python|Async IO Python||realpython.com/async-io-python/|true
docker|Using Alpine can make Python Docker builds 50x slower||pythonspeed.com/articles/alpine-docker-python/|true
deep-learning|How you should read research papers||towardsdatascience.com/how-you-should-read-research-papers-according-to-andrew-ng-stanford-deep-learning-lectures-98ecbd3ccfb3|true
physics|The Most Famous Paradox in Physics Nears Its End|Musser, George|quantamagazine.org/the-black-hole-information-paradox-comes-to-an-end-20201029|true
computing|Systems design for advanced beginners|Heaton, Robert|robertheaton.com/2020/04/06/systems-design-for-advanced-beginners/|true
deep-learning|||blog.griddynamics.com/customer2vec-representation-learning-and-automl-for-customer-analytics-and-personalization/|true
linux|The Two-Edged Sword|Gettys, Jim||true
linux|The UNIX Time-Sharing System|Ritchie & Thompson|people.eecs.berkley.edu/~brewer/cs262.unix.pdf|true
linux|On Holy Wars and a Plea for Peace|Cohen, Danny||true
c/c++|The Inside Story on Shared Libraries and Dynamic Loading|Beazley, David||true
